,account_number,card_number,aty_code,card_status,foracid,car_code,product_code,acc_paym_mode,credit_limit,car_create_date
47,FA9141363925496863,CN4408225580842988,1,Y,CN4408225580842988,4781666,PDSC3,,,2022-10-21
48,FA8413190193064130,CN4408201494691484,1,Y,CN4408201494691484,4769104,PDSC3,,,2023-01-30
49,FA8413190193064130,CN4408982232401520,1,Y,CN4408982232401520,4726178,PDSC3,,,2023-03-06
50,FA8411058361844758,CN4408662515983436,1,Y,CN4408662515983436,4747260,PDSC3,,,2022-08-22
51,FA8824514150310352,CN4408244851042579,1,N,CN4408244851042579,4743979,PDSC3,,,2022-08-28
52,FA8824514150310352,CN4408719993261636,1,Y,CN4408719993261636,4777091,PDSC3,,,2022-10-24
53,FA8824514150310352,CN4408904447899664,1,Y,CN4408904447899664,4777141,PDSC3,,,2023-02-14
54,FA1574717731996887,CN4408184759594667,1,Y,CN4408184759594667,4717675,PDSC3,,,2022-12-09
55,FA1574717731996887,CN4408721563133318,1,Y,CN4408721563133318,4728544,PDSC3,,,2022-12-24
56,FA4867573286815339,CN4408910152580670,1,Y,CN4408910152580670,4768434,PDSC3,,,2023-04-08
57,FA4867573286815339,CR4509743405392802,2,Y,CR4509743405392802,4753459,PDSC2,100.0,77000.0,2022-09-23
58,FA2549278380805048,CN4408685246549291,1,Y,CN4408685246549291,4744179,PDSC3,,,2022-07-07
59,FA2549278380805048,CN4408560959179892,1,Y,CN4408560959179892,4711740,PDSC3,,,2023-02-24
60,FA2885646635452396,CN4408715369958726,1,Y,CN4408715369958726,4744158,PDSC3,,,2022-06-23
61,FA2885646635452396,CN4408424541228309,1,Y,CN4408424541228309,4791203,PDSC3,,,2022-08-19
62,FA4640004836756382,CR4509311415508641,2,Y,CR4509311415508641,4756362,PDSC2,10.0,69000.0,2022-10-14
63,FA4640004836756382,CR4509876323764415,2,Y,CR4509876323764415,4786305,PDSC2,10.0,61000.0,2022-11-24
64,FA4555121323501529,CN4408608784383227,1,Y,CN4408608784383227,4779605,PDSC3,,,2022-07-07
65,FA4555121323501529,CR4509931946316848,2,Y,CR4509931946316848,4772725,PDSC2,10.0,45000.0,2022-11-09
66,FA2510088984241290,CN4408756111713907,1,Y,CN4408756111713907,4737000,PDSC3,,,2023-03-03
67,FA2510088984241290,CN4408887008080428,1,Y,CN4408887008080428,4753040,PDSC3,,,2022-08-18
68,FA2510088984241290,CR4509281817875125,2,Y,CR4509281817875125,4752190,PDSC2,10.0,58000.0,2023-01-21
69,FA8916543896818729,CN4408834169522829,1,Y,CN4408834169522829,4792282,PDSC3,,,2022-08-04
70,FA8916543896818729,CN4408760021309369,1,Y,CN4408760021309369,4725097,PDSC3,,,2023-04-30
71,FA5561269128073205,CN4408292767664637,1,Y,CN4408292767664637,4787494,PDSC3,,,2022-11-26
72,FA5561269128073205,CN4408518200394694,1,Y,CN4408518200394694,4777056,PDSC3,,,2022-11-09
73,FA5561269128073205,CN4408395686469799,1,Y,CN4408395686469799,4782295,PDSC3,,,2023-03-29
74,FA3146453489497792,CN4408337166988426,1,Y,CN4408337166988426,4790166,PDSC3,,,2023-01-24
75,FA3146453489497792,CN4408544884656374,1,Y,CN4408544884656374,4710358,PDSC3,,,2023-03-20
76,FA9609180842949648,CN4408646146598067,1,Y,CN4408646146598067,4752748,PDSC3,,,2022-10-10
77,FA9745582290586187,CR4509836132211878,2,Y,CR4509836132211878,4719971,PDSC2,100.0,92000.0,2022-07-20
78,FA3134229911104353,CR4509825598647803,2,Y,CR4509825598647803,4727211,PDSC2,100.0,75000.0,2022-06-15
79,FA3134229911104353,CN4408746893655029,1,Y,CN4408746893655029,4713097,PDSC3,,,2023-02-17
80,FA3552119754983747,CN4408312706611339,1,Y,CN4408312706611339,4771451,PDSC3,,,2022-06-18
81,FA2843991326588204,CN4408389819978054,1,Y,CN4408389819978054,4785771,PDSC3,,,2022-10-01
82,FA6136717538544656,CN4408559878026740,1,Y,CN4408559878026740,4752687,PDSC3,,,2023-03-16
83,FA6136717538544656,CR4509196372975202,2,Y,CR4509196372975202,4781396,PDSC2,10.0,30000.0,2022-10-25
84,FA6136717538544656,CN4408440524981068,1,Y,CN4408440524981068,4745909,PDSC3,,,2022-06-10
85,FA8936334715312026,CR4509629038784486,2,Y,CR4509629038784486,4798984,PDSC2,100.0,59000.0,2023-03-01
86,FA8936334715312026,CR4509890759060798,2,Y,CR4509890759060798,4713511,PDSC2,100.0,43000.0,2023-04-23
87,FA7932212114222235,CN4408411518944515,1,Y,CN4408411518944515,4731803,PDSC3,,,2022-07-13
88,FA7932212114222235,CN4408514339635250,1,Y,CN4408514339635250,4751563,PDSC3,,,2022-08-18
89,FA7932212114222235,CN4408172399661113,1,Y,CN4408172399661113,4776464,PDSC3,,,2022-09-24
90,FA4771139366018837,CN4408254399494285,1,Y,CN4408254399494285,4783030,PDSC3,,,2023-01-21
91,FA4634102463342082,CR4509276668432038,2,Y,CR4509276668432038,4736446,PDSC2,100.0,48000.0,2023-02-05
92,FA3685656792667610,CN4408432967981404,1,Y,CN4408432967981404,4796363,PDSC3,,,2022-06-26
93,FA1656370583442456,CR4509883346465263,2,Y,CR4509883346465263,4782535,PDSC2,10.0,41000.0,2022-10-24
